"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"grudzień";"cebula - za 1 kg";"cena";"2016";1,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"cebula - za 1 kg";"cena";"2017";2,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"cebula - za 1 kg";"cena";"2018";3,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"cebula - za 1 kg";"cena";"2019";3,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2006";1,08;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2007";1,73;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2008";1,31;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2009";1,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2010";1,60;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2011";2,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2012";1,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2013";1,62;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2014";2,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2015";1,65;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2016";2,33;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2017";2,14;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2018";2,27;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2019";3,03;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2006";1,13;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2007";1,80;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2008";1,34;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2009";1,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2010";1,84;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2011";2,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2012";1,53;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2013";1,62;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2014";2,41;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2015";1,73;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2016";2,50;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2017";2,16;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2018";2,24;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2019";3,65;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2006";1,14;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2007";1,90;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2008";1,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2009";1,35;"zł";"";
